1	1548296888105	-0.065	-0.062	7.451	nothing
2	1548296888106	-0.031	-0.072	8.746	nothing
3	1548296888107	-0.048	-0.093	9.232	nothing
4	1548296888108	-0.065	-0.093	9.392	nothing
5	1548296888109	-0.062	-0.098	9.595	nothing
6	1548296888110	-0.057	-0.089	9.533	nothing
7	1548296888111	-0.043	-0.096	9.705	nothing
8	1548296888112	-0.043	-0.089	9.559	nothing
9	1548296888113	-0.041	-0.089	9.638	nothing
10	1548296888114	-0.033	-0.081	9.626	nothing
11	1548296888115	-0.036	-0.072	9.622	nothing
12	1548296888116	-0.05	-0.065	9.698	nothing
13	1548296888117	-0.041	-0.062	9.55	nothing
14	1548296888118	-0.031	-0.086	9.698	nothing
15	1548296888119	-0.048	-0.086	9.569	nothing
16	1548296888120	-0.041	-0.089	9.679	nothing
17	1548296888125	-0.057	-0.086	9.624	nothing
18	1548296888126	-0.041	-0.072	9.564	nothing
19	1548296888128	-0.041	-0.105	9.667	nothing
20	1548296888131	-0.038	-0.091	9.576	nothing
21	1548296888132	-0.05	-0.086	9.727	nothing
22	1548296888134	-0.053	-0.105	9.578	nothing
23	1548296888136	-0.048	-0.12	9.643	nothing
24	1548296888139	-0.05	-0.117	9.619	nothing
25	1548296888141	-0.045	-0.103	9.59	nothing
26	1548296888144	-0.057	-0.11	9.689	nothing
27	1548296888147	-0.062	-0.1	9.523	nothing
28	1548296888149	-0.062	-0.105	9.679	nothing
29	1548296888151	-0.057	-0.108	9.567	nothing
30	1548296888153	-0.041	-0.105	9.674	nothing
31	1548296888155	-0.041	-0.115	9.633	nothing
32	1548296888159	-0.031	-0.098	9.581	nothing
33	1548296888160	-0.055	-0.108	9.679	nothing
34	1548296888186	-0.053	-0.086	9.564	nothing
35	1548296888187	-0.057	-0.112	9.722	nothing
36	1548296888188	-0.048	-0.115	9.557	nothing
37	1548296888189	-0.048	-0.108	9.619	nothing
38	1548296888190	-0.053	-0.096	9.612	nothing
39	1548296888191	-0.033	-0.086	9.622	nothing
40	1548296888192	-0.053	-0.081	9.696	nothing
41	1548296888193	-0.043	-0.084	9.543	nothing
42	1548296888194	-0.053	-0.084	9.689	nothing
43	1548296888195	-0.057	-0.086	9.562	nothing
44	1548296888196	-0.055	-0.093	9.677	nothing
45	1548296888197	-0.048	-0.096	9.636	nothing
46	1548296888198	-0.055	-0.093	9.578	nothing
