1	1548342604866	-0.579	-0.443	9.662	knot10
2	1548342604899	-0.258	-0.335	9.712	knot10
3	1548342604938	-0.378	-0.294	9.887	knot10
4	1548342604975	-0.323	-0.239	9.346	knot10
5	1548342605015	-0.156	-0.263	9.885	knot10
6	1548342605052	-0.517	-0.495	9.739	knot10
7	1548342605091	-0.345	-0.256	9.497	knot10
8	1548342605128	-0.144	-0.278	9.818	knot10
9	1548342605166	-0.488	-0.335	9.626	knot10
10	1548342605204	-0.459	-0.254	9.528	knot10
11	1548342605244	-0.002	-0.122	9.741	knot10
12	1548342605283	-0.23	-0.364	9.753	knot10
13	1548342605320	-0.292	-0.364	9.787	knot10
14	1548342605358	-0.179	-0.39	9.717	knot10
15	1548342605395	-0.493	-0.318	9.574	knot10
16	1548342605437	-0.115	-0.285	9.433	knot10
17	1548342605473	-0.443	-0.368	9.969	knot10
18	1548342605511	-0.409	-0.357	9.645	knot10
19	1548342605551	-0.156	-0.301	9.758	knot10
20	1548342605587	-0.254	-0.175	9.631	knot10
21	1548342605627	-0.574	-0.313	9.514	knot10
22	1548342605667	-0.349	-0.352	9.803	knot10
23	1548342605702	-0.196	-0.256	9.631	knot10
24	1548342605741	-0.29	-0.366	9.787	knot10
25	1548342605778	-0.376	-0.4	9.645	knot10
26	1548342605819	-0.036	-0.309	9.406	knot10
27	1548342605854	-0.299	-0.371	9.626	knot10
28	1548342605892	-0.347	-0.244	9.555	knot10
29	1548342605930	-0.086	-0.392	9.758	knot10
30	1548342605971	-0.313	-0.479	9.476	knot10
31	1548342606006	-0.512	-0.502	9.593	knot10
32	1548342606045	-0.218	-0.33	9.277	knot10
33	1548342606082	-0.51	-0.345	9.052	knot10
34	1548342606121	-0.321	-0.538	9.358	knot10
35	1548342606160	-0.115	-0.426	9.057	knot10
36	1548342606197	-0.354	-0.512	9.069	knot10
37	1548342606234	-0.17	-0.663	8.918	knot10
38	1548342606273	-0.263	-0.816	8.999	knot10
39	1548342606311	-0.364	-0.976	9.468	knot10
40	1548342606350	-0.548	-1.151	9.779	knot10
41	1548342606387	0.026	-0.893	9.729	knot10
